frame x y z 
6100 4.09245 16.3436 1.30852
6104 4.08484 16.3873 1.14413
6110 4.36643 16.3957 1.65419
-1 0 0 0
6125 4.45325 19.5568 2.28146
6129 4.4731 19.6327 1.75421
6134 4.47122 19.5602 0.823704
6141 4.38422 17.6564 0.0824307
6145 4.44421 19.4827 1.09757
6149 4.43127 19.4559 1.42545
6160 4.34884 19.3728 1.29554
6164 4.34063 19.3393 0.890487
6171 4.29726 19.2834 0.235713
6185 4.14838 19.0881 0.421211
6207 4.09739 17.9915 1.54151
6273 4.53584 17.4568 2.55186
6277 4.26104 16.6943 1.60557
6281 4.5259 18.4478 3.35853
6285 4.50783 19.1357 3.4831
6290 4.50479 19.6717 3.40425
6295 4.50524 19.4331 3.13729
6306 4.47107 19.4762 2.56462
6313 4.39998 19.3933 1.81197
6318 4.38167 19.3261 0.883643
6322 4.36138 19.2798 0.156054
6326 4.36939 19.0875 0.765507
6343 4.3586 18.503 1.32456
6363 4.56875 17.1384 0.210567
6447 4.50359 17.1971 2.83284
6452 4.52037 17.8604 3.38399
6458 4.55873 18.7368 3.65758
6464 4.6529 19.1218 3.63842
6469 4.60262 19.5074 3.25048
6479 4.52216 19.5242 2.90042
6490 4.53753 19.412 2.5405
6495 4.45247 19.2672 2.11117
6500 4.36896 19.1447 1.37347
6504 4.3326 19.0834 0.559901
6508 4.2241 18.9727 0.32337
6515 4.52456 17.8843 1.50931
6551 3.32605 17.5817 1.31184
6586 3.55789 16.7582 0.12043
6603 3.20981 16.4463 0.239929
-1 0 0 0
6608 4.10711 17.9481 3.20578
6612 3.41926 16.6397 1.35414
-1 0 0 0
6617 4.41076 19.0223 3.65708
6621 4.58591 19.4036 3.51797
6629 4.76913 19.4496 3.18129
6633 4.89023 19.1658 3.28101
6638 5.06726 18.8695 3.10256
6642 5.09698 18.6205 2.80126
6647 5.2278 18.3451 2.16194
6652 5.31971 18.1505 1.23722
6728 5.75637 16.0054 1.4542
6750 5.56899 17.0917 2.8631
6755 5.48048 16.1123 1.67737
-1 0 0 0
6759 5.33359 18.4532 3.61829
6763 5.25397 19.1298 3.67643
6768 5.10174 19.6873 3.51112
6773 4.9965 19.298 3.1324
6777 4.92774 19.0202 2.65371
6781 4.83406 18.7266 2.04223
6785 4.7615 18.4277 1.20984
6789 4.6961 18.1573 0.18036
6793 4.64172 17.8901 0.708125
6798 4.60051 17.6012 1.33306
6803 4.50944 17.3126 1.73613
6810 4.40523 16.8975 1.78902
6846 4.11546 15.814 0.0549726
-1 0 0 0
6856 4.31244 17.3932 2.94272
6860 4.31844 18.1139 3.44679
6866 4.40276 19.0998 3.73858
-1 0 0 0
6870 4.0681 16.2951 0.571434
-1 0 0 0
6875 4.46252 19.3714 3.38126
6879 4.45182 19.1071 3.15545
6883 4.424 18.7292 3.11199
6888 4.42996 18.3159 2.8422
6892 4.39467 17.9449 2.45844
6896 4.35889 17.6002 1.90838
6902 4.29884 17.4576 0.0767365
6935 4.33511 15.7921 1.23022
6962 4.39361 17.144 3.05771
6967 4.42828 17.982 3.45136
6972 4.44465 18.752 3.46069
6977 4.47249 19.4237 3.21681
6984 4.56944 19.1019 3.39817
6991 4.65289 18.4294 3.37642
6996 4.72055 17.9603 3.00106
7000 4.78962 17.5877 2.52568
7011 3.97123 16.0902 0.112991
7023 4.5525 16.7722 1.53488
7027 4.45374 16.0702 1.71926
7056 4.19982 16.1221 0.210566
-1 0 0 0
7062 4.55963 18.0082 3.2069
7066 4.56034 18.5216 3.35415
7071 4.61627 19.2303 3.32195
7076 4.66127 19.6647 3.12243
7085 4.87206 19.6563 3.19491
7089 4.96995 19.6373 2.95057
7094 5.11088 19.5473 2.3261
7098 5.23099 19.5537 1.65814
7103 5.31619 19.5089 0.645987
7108 5.38371 19.4437 0.525572
7112 5.48097 19.3764 1.0497
7119 5.6581 19.3437 1.62817
7123 5.7296 19.2959 1.65936
7131 5.81939 19.2011 1.3532
7135 5.91737 19.1323 0.801568
7140 6.04296 19.0872 0.176852
-1 0 0 0
7184 -1.80923 3.59471 0.676805
-1 0 0 0
7217 5.81872 18.2403 2.53023
7221 5.92698 17.7807 1.73029
7227 5.20292 19.0572 3.53616
7231 4.98749 19.4229 3.56918
7235 4.69901 19.7399 3.49488
